base,serie,vies,spd_dados,abs_spd_dados,di_dados
pd_v0,PD,0.0,0.20154952971999174,0.20154952971999174,1.2809615216195824
pd_v0.25,PD,0.25,-0.35038649386290177,0.35038649386290177,0.5842596291053495
pd_v0.5,PD,0.5,-0.6811689616486195,0.6811689616486195,0.3080103973531445
pd_v0.75,PD,0.75,-0.712381945335867,0.712381945335867,0.258019184570598
pd_v1,PD,1.0,-0.8749782596092527,0.8749782596092527,0.1250217403907473
gs_v0,GS,0.0,-0.055420668672789386,0.055420668672789386,0.931299879816498
gs_v0.25,GS,0.25,0.08951970319536295,0.08951970319536295,1.1322230210709887
gs_v0.5,GS,0.5,0.05412139707201902,0.05412139707201902,1.0773453478027082
gs_v0.75,GS,0.75,-0.22517933832659742,0.22517933832659742,0.7748206616734026
gs_v1,GS,1.0,,,
